name,price,profit,real profit
Share-DUPH,10.01,12.25,1.226225
Share-GTAN,26.04,38.06,9.910824000000002
Share-USUF,9.25,27.69,2.5613250000000005
Share-CFOZ,10.64,38.21,4.065544
Share-QLRX,15.72,27.47,4.318284
Share-XJDT,0.0,37.11,0.0
Share-HKFP,23.97,19.66,4.712502
Share-PPPH,24.06,38.2,9.19092
Share-HLJY,26.98,5.54,1.494692
Share-YKBD,0.0,22.75,0.0
Share-CTCR,16.6,12.4,2.0584000000000002
Share-LMJG,16.54,29.82,4.932228
Share-IGUH,19.13,14.3,2.73559
Share-VIRY,31.94,1.84,0.587696
Share-PYDS,34.9,30.69,10.71081
Share-SOOE,23.09,38.04,8.783436
Share-NOIQ,24.08,36.81,8.863848
Share-QUXB,36.97,36.08,13.338776
Share-SJNY,24.61,17.43,4.289523
Share-CQYF,26.26,0.65,0.17069000000000004
Share-XJSP,42.08,3.03,1.275024
Share-YNWM,9.94,28.25,2.8080499999999997
Share-KTGN,6.41,25.37,1.6262170000000002
Share-KWZO,41.42,1.19,0.492898
Share-BVMS,27.84,4.51,1.255584
Share-DAPD,8.47,6.66,0.5641020000000001
Share-TVRM,31.06,6.63,2.059278
Share-EIYB,11.49,37.74,4.336326000000001
Share-NNGR,43.15,15.09,6.511335
Share-XWRU,28.6,23.37,6.683820000000001
Share-YEZB,17.15,30.28,5.19302
Share-AQHE,7.8,5.36,0.41808
Share-IJAW,0.0,30.69,0.0
Share-SEBO,35.85,14.79,5.302215
Share-MWTE,0.0,18.37,0.0
Share-ZWIY,18.36,11.91,2.186676
Share-BAOJ,38.2,28.36,10.833520000000002
Share-GKWN,16.01,33.52,5.366552000000001
Share-UZPA,27.49,4.4,1.20956
Share-HODN,34.8,7.29,2.53692
Share-HRDA,27.45,33.65,9.236925
Share-ZRWP,25.99,6.72,1.7465279999999999
Share-JWSN,23.24,7.28,1.691872
Share-RLHB,38.23,4.46,1.705058
Share-FFBY,22.05,11.41,2.515905
Share-FTYF,9.56,31.54,3.0152240000000003
Share-KNZG,14.86,13.8,2.0506800000000003
